Trade Date,Underlying,Product Type,Exchange,Volume
2020/04/03,CAT,S,BATS,1514
2020/04/03,CAT,S,C2,176
2020/04/03,CAT,S,CBOE,3254
2020/04/03,CAT,S,EDGX,886
2020/04/06,CAT,S,BATS,1212
2020/04/06,CAT,S,C2,392
2020/04/06,CAT,S,CBOE,3674
2020/04/06,CAT,S,EDGX,805
2020/04/07,CAT,S,BATS,3509
2020/04/07,CAT,S,C2,1123
2020/04/07,CAT,S,CBOE,8070
2020/04/07,CAT,S,EDGX,3287
2020/04/08,CAT,S,BATS,2486
2020/04/08,CAT,S,C2,281
2020/04/08,CAT,S,CBOE,4315
2020/04/08,CAT,S,EDGX,1390
2020/04/09,CAT,S,BATS,2181
2020/04/09,CAT,S,C2,600
2020/04/09,CAT,S,CBOE,4106
2020/04/09,CAT,S,EDGX,1501
2020/04/13,CAT,S,BATS,3958
2020/04/13,CAT,S,C2,915
2020/04/13,CAT,S,CBOE,8213
2020/04/13,CAT,S,EDGX,2555
2020/04/14,CAT,S,BATS,1987
2020/04/14,CAT,S,C2,459
2020/04/14,CAT,S,CBOE,3544
2020/04/14,CAT,S,EDGX,878
2020/04/15,CAT,S,BATS,2059
2020/04/15,CAT,S,C2,558
2020/04/15,CAT,S,CBOE,4755
2020/04/15,CAT,S,EDGX,839
2020/04/16,CAT,S,BATS,3245
2020/04/16,CAT,S,C2,445
2020/04/16,CAT,S,CBOE,7882
2020/04/16,CAT,S,EDGX,1131
2020/04/17,CAT,S,BATS,3203
2020/04/17,CAT,S,C2,833
2020/04/17,CAT,S,CBOE,5896
2020/04/17,CAT,S,EDGX,1054
2020/04/20,CAT,S,BATS,1807
2020/04/20,CAT,S,C2,374
2020/04/20,CAT,S,CBOE,2486
2020/04/20,CAT,S,EDGX,945
2020/04/21,CAT,S,BATS,1579
2020/04/21,CAT,S,C2,340
2020/04/21,CAT,S,CBOE,2751
2020/04/21,CAT,S,EDGX,1104
2020/04/22,CAT,S,BATS,2379
2020/04/22,CAT,S,C2,173
2020/04/22,CAT,S,CBOE,6787
2020/04/22,CAT,S,EDGX,434
2020/04/23,CAT,S,BATS,2997
2020/04/23,CAT,S,C2,177
2020/04/23,CAT,S,CBOE,4316
2020/04/23,CAT,S,EDGX,1013
2020/04/24,CAT,S,BATS,1138
2020/04/24,CAT,S,C2,177
2020/04/24,CAT,S,CBOE,3023
2020/04/24,CAT,S,EDGX,535
2020/04/27,CAT,S,BATS,4676
2020/04/27,CAT,S,C2,912
2020/04/27,CAT,S,CBOE,12155
2020/04/27,CAT,S,EDGX,3186
2020/04/28,CAT,S,BATS,5658
2020/04/28,CAT,S,C2,699
2020/04/28,CAT,S,CBOE,10291
2020/04/28,CAT,S,EDGX,2426
2020/04/29,CAT,S,BATS,4536
2020/04/29,CAT,S,C2,270
2020/04/29,CAT,S,CBOE,9304
2020/04/29,CAT,S,EDGX,1274
2020/04/30,CAT,S,BATS,2429
2020/04/30,CAT,S,C2,418
2020/04/30,CAT,S,CBOE,5589
2020/04/30,CAT,S,EDGX,749
2020/05/01,CAT,S,BATS,1632
2020/05/01,CAT,S,C2,326
2020/05/01,CAT,S,CBOE,6172
2020/05/01,CAT,S,EDGX,1218
2020/05/04,CAT,S,BATS,1024
2020/05/04,CAT,S,C2,206
2020/05/04,CAT,S,CBOE,5027
2020/05/04,CAT,S,EDGX,1005
2020/05/05,CAT,S,BATS,1036
2020/05/05,CAT,S,C2,208
2020/05/05,CAT,S,CBOE,3045
2020/05/05,CAT,S,EDGX,781
2020/05/06,CAT,S,BATS,1091
2020/05/06,CAT,S,C2,28
2020/05/06,CAT,S,CBOE,1883
2020/05/06,CAT,S,EDGX,561
2020/05/07,CAT,S,BATS,1189
2020/05/07,CAT,S,C2,25
2020/05/07,CAT,S,CBOE,2533
2020/05/07,CAT,S,EDGX,423
2020/05/08,CAT,S,BATS,2122
2020/05/08,CAT,S,C2,501
2020/05/08,CAT,S,CBOE,5171
2020/05/08,CAT,S,EDGX,1123
2020/05/11,CAT,S,BATS,1326
2020/05/11,CAT,S,C2,877
2020/05/11,CAT,S,CBOE,2906
2020/05/11,CAT,S,EDGX,895
2020/05/12,CAT,S,BATS,1619
2020/05/12,CAT,S,C2,227
2020/05/12,CAT,S,CBOE,5076
2020/05/12,CAT,S,EDGX,725
2020/05/13,CAT,S,BATS,2108
2020/05/13,CAT,S,C2,311
2020/05/13,CAT,S,CBOE,4080
2020/05/13,CAT,S,EDGX,1031
2020/05/14,CAT,S,BATS,1868
2020/05/14,CAT,S,C2,269
2020/05/14,CAT,S,CBOE,3824
2020/05/14,CAT,S,EDGX,897
2020/05/15,CAT,S,BATS,1229
2020/05/15,CAT,S,C2,143
2020/05/15,CAT,S,CBOE,2441
2020/05/15,CAT,S,EDGX,616
2020/05/18,CAT,S,BATS,2257
2020/05/18,CAT,S,C2,896
2020/05/18,CAT,S,CBOE,4031
2020/05/18,CAT,S,EDGX,1735
2020/05/19,CAT,S,BATS,1038
2020/05/19,CAT,S,C2,82
2020/05/19,CAT,S,CBOE,1548
2020/05/19,CAT,S,EDGX,233
2020/05/20,CAT,S,BATS,3134
2020/05/20,CAT,S,C2,443
2020/05/20,CAT,S,CBOE,3428
2020/05/20,CAT,S,EDGX,596
2020/05/21,CAT,S,BATS,1350
2020/05/21,CAT,S,C2,192
2020/05/21,CAT,S,CBOE,1996
2020/05/21,CAT,S,EDGX,476
2020/05/22,CAT,S,BATS,1416
2020/05/22,CAT,S,C2,176
2020/05/22,CAT,S,CBOE,3983
2020/05/22,CAT,S,EDGX,633
2020/05/26,CAT,S,BATS,1987
2020/05/26,CAT,S,C2,749
2020/05/26,CAT,S,CBOE,3545
2020/05/26,CAT,S,EDGX,1889
2020/05/27,CAT,S,BATS,1985
2020/05/27,CAT,S,C2,1196
2020/05/27,CAT,S,CBOE,3686
2020/05/27,CAT,S,EDGX,1185
2020/05/28,CAT,S,BATS,1133
2020/05/28,CAT,S,C2,160
2020/05/28,CAT,S,CBOE,3809
2020/05/28,CAT,S,EDGX,843
2020/05/29,CAT,S,BATS,2087
2020/05/29,CAT,S,C2,336
2020/05/29,CAT,S,CBOE,3309
2020/05/29,CAT,S,EDGX,795
2020/06/01,CAT,S,BATS,543
2020/06/01,CAT,S,C2,59
2020/06/01,CAT,S,CBOE,1310
2020/06/01,CAT,S,EDGX,355
2020/06/02,CAT,S,BATS,810
2020/06/02,CAT,S,C2,230
2020/06/02,CAT,S,CBOE,2456
2020/06/02,CAT,S,EDGX,517
2020/06/03,CAT,S,BATS,1315
2020/06/03,CAT,S,C2,433
2020/06/03,CAT,S,CBOE,4171
2020/06/03,CAT,S,EDGX,1321
2020/06/04,CAT,S,BATS,1763
2020/06/04,CAT,S,C2,416
2020/06/04,CAT,S,CBOE,2790
2020/06/04,CAT,S,EDGX,1128
2020/06/05,CAT,S,BATS,2478
2020/06/05,CAT,S,C2,957
2020/06/05,CAT,S,CBOE,5338
2020/06/05,CAT,S,EDGX,1553
2020/06/08,CAT,S,BATS,1378
2020/06/08,CAT,S,C2,30
2020/06/08,CAT,S,CBOE,2001
2020/06/08,CAT,S,EDGX,512
2020/06/09,CAT,S,BATS,1117
2020/06/09,CAT,S,C2,157
2020/06/09,CAT,S,CBOE,2055
2020/06/09,CAT,S,EDGX,891
2020/06/10,CAT,S,BATS,2062
2020/06/10,CAT,S,C2,471
2020/06/10,CAT,S,CBOE,2109
2020/06/10,CAT,S,EDGX,566
2020/06/11,CAT,S,BATS,2238
2020/06/11,CAT,S,C2,373
2020/06/11,CAT,S,CBOE,4332
2020/06/11,CAT,S,EDGX,946
2020/06/12,CAT,S,BATS,1630
2020/06/12,CAT,S,C2,206
2020/06/12,CAT,S,CBOE,3714
2020/06/12,CAT,S,EDGX,1169
2020/06/15,CAT,S,BATS,564
2020/06/15,CAT,S,C2,110
2020/06/15,CAT,S,CBOE,1705
2020/06/15,CAT,S,EDGX,646
2020/06/16,CAT,S,BATS,3032
2020/06/16,CAT,S,C2,244
2020/06/16,CAT,S,CBOE,6760
2020/06/16,CAT,S,EDGX,1417
2020/06/17,CAT,S,BATS,1407
2020/06/17,CAT,S,C2,295
2020/06/17,CAT,S,CBOE,3590
2020/06/17,CAT,S,EDGX,728
2020/06/18,CAT,S,BATS,1037
2020/06/18,CAT,S,C2,92
2020/06/18,CAT,S,CBOE,2324
2020/06/18,CAT,S,EDGX,612
2020/06/19,CAT,S,BATS,1254
2020/06/19,CAT,S,C2,126
2020/06/19,CAT,S,CBOE,3776
2020/06/19,CAT,S,EDGX,823
2020/06/22,CAT,S,BATS,963
2020/06/22,CAT,S,C2,351
2020/06/22,CAT,S,CBOE,2070
2020/06/22,CAT,S,EDGX,493
2020/06/23,CAT,S,BATS,1453
2020/06/23,CAT,S,C2,195
2020/06/23,CAT,S,CBOE,1362
2020/06/23,CAT,S,EDGX,508
2020/06/24,CAT,S,BATS,718
2020/06/24,CAT,S,C2,221
2020/06/24,CAT,S,CBOE,2230
2020/06/24,CAT,S,EDGX,992
2020/06/25,CAT,S,BATS,978
2020/06/25,CAT,S,C2,110
2020/06/25,CAT,S,CBOE,1726
2020/06/25,CAT,S,EDGX,551
2020/06/26,CAT,S,BATS,570
2020/06/26,CAT,S,C2,42
2020/06/26,CAT,S,CBOE,1358
2020/06/26,CAT,S,EDGX,624
2020/06/29,CAT,S,BATS,607
2020/06/29,CAT,S,C2,266
2020/06/29,CAT,S,CBOE,2187
2020/06/29,CAT,S,EDGX,968
2020/06/30,CAT,S,BATS,524
2020/06/30,CAT,S,C2,260
2020/06/30,CAT,S,CBOE,1625
2020/06/30,CAT,S,EDGX,454
2020/07/01,CAT,S,BATS,1058
2020/07/01,CAT,S,C2,178
2020/07/01,CAT,S,CBOE,1538
2020/07/01,CAT,S,EDGX,613
2020/07/02,CAT,S,BATS,2178
2020/07/02,CAT,S,C2,92
2020/07/02,CAT,S,CBOE,2989
2020/07/02,CAT,S,EDGX,757
2020/07/06,CAT,S,BATS,1340
2020/07/06,CAT,S,C2,257
2020/07/06,CAT,S,CBOE,2688
2020/07/06,CAT,S,EDGX,895
2020/07/07,CAT,S,BATS,1122
2020/07/07,CAT,S,C2,162
2020/07/07,CAT,S,CBOE,1688
2020/07/07,CAT,S,EDGX,859
2020/07/08,CAT,S,BATS,1199
2020/07/08,CAT,S,C2,61
2020/07/08,CAT,S,CBOE,2102
2020/07/08,CAT,S,EDGX,1213
2020/07/09,CAT,S,BATS,1169
2020/07/09,CAT,S,C2,199
2020/07/09,CAT,S,CBOE,1709
2020/07/09,CAT,S,EDGX,510
2020/07/10,CAT,S,BATS,1376
2020/07/10,CAT,S,C2,359
2020/07/10,CAT,S,CBOE,1963
2020/07/10,CAT,S,EDGX,877
2020/07/13,CAT,S,BATS,2469
2020/07/13,CAT,S,C2,802
2020/07/13,CAT,S,CBOE,4225
2020/07/13,CAT,S,EDGX,1434
2020/07/14,CAT,S,BATS,3348
2020/07/14,CAT,S,C2,621
2020/07/14,CAT,S,CBOE,6554
2020/07/14,CAT,S,EDGX,1592
2020/07/15,CAT,S,BATS,2699
2020/07/15,CAT,S,C2,924
2020/07/15,CAT,S,CBOE,6405
2020/07/15,CAT,S,EDGX,1559
2020/07/16,CAT,S,BATS,2433
2020/07/16,CAT,S,C2,235
2020/07/16,CAT,S,CBOE,7079
2020/07/16,CAT,S,EDGX,2601
2020/07/17,CAT,S,BATS,1532
2020/07/17,CAT,S,C2,101
2020/07/17,CAT,S,CBOE,2439
2020/07/17,CAT,S,EDGX,485
2020/07/20,CAT,S,BATS,774
2020/07/20,CAT,S,C2,52
2020/07/20,CAT,S,CBOE,2720
2020/07/20,CAT,S,EDGX,414
2020/07/21,CAT,S,BATS,783
2020/07/21,CAT,S,C2,145
2020/07/21,CAT,S,CBOE,3139
2020/07/21,CAT,S,EDGX,918
2020/07/22,CAT,S,BATS,804
2020/07/22,CAT,S,C2,337
2020/07/22,CAT,S,CBOE,2764
2020/07/22,CAT,S,EDGX,588
2020/07/23,CAT,S,BATS,757
2020/07/23,CAT,S,C2,48
2020/07/23,CAT,S,CBOE,2416
2020/07/23,CAT,S,EDGX,445
2020/07/24,CAT,S,BATS,1725
2020/07/24,CAT,S,C2,65
2020/07/24,CAT,S,CBOE,4765
2020/07/24,CAT,S,EDGX,962
2020/07/27,CAT,S,BATS,1306
2020/07/27,CAT,S,C2,225
2020/07/27,CAT,S,CBOE,3964
2020/07/27,CAT,S,EDGX,600
2020/07/28,CAT,S,BATS,690
2020/07/28,CAT,S,C2,181
2020/07/28,CAT,S,CBOE,2404
2020/07/28,CAT,S,EDGX,319
2020/07/29,CAT,S,BATS,642
